Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stupeň pôvodnosti;Stupeň spracovania;Technika;Vlastník;Výtvarný druh;Značenie;Žáner
"Galanda, Mikuláš";"1924";"20. storočie, 1. polovica, 1924";;"Láska v meste";;;"G 2577";;"Gregorová-Stachová, Lucia";"papier, nažltlý";"výška 13.8 cm; šírka 9.9 cm";"6.3.1951";"Bio";"Bio | Bio. From the Cycle Love in the City (Preklad názvu)";"SNG";"SVK:SNG.G_2577";"POZN: 

LIT:
Slovenský obraz (anti-obraz) : 20.st. v slovenskom výtvarnom umení. Bratislava : SNG, 2008, 265.";"1486d";"prevod";"originál";"DEF";"litografia";"Slovenská národná galéria, SNG";"grafika, voľná";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1930 - 1932";"20. storočie, 1. polovica, 1930-1932";"10.6.1964";;;;"O 2598";"56. NK";"Bajcurová, Katarína";"plátno";"výška 30.4 cm; šírka 24.2 cm";"10.6.1964";"Rodina";"Rodina | Family (Preklad názvu)";"SNG";"SVK:SNG.O_2598";"POZN: ";"4534";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: G";"ženský akt | figurálna kompozícia"
"Galanda, Mikuláš";"1929 - 1930";"20. storočie, 1. polovica, 1929-1930 okolo";;;;;"K 2473";;"Gregorová-Stachová, Lucia";"kartón, nahnedlý";"výška 38.2 cm; šírka 30.0 cm";"6.3.1951";"Milenci";"Milenci | Pieseň; Pastorale; Lovers (Song - Pastorale) (Preklad názvu)";"SNG";"SVK:SNG.K_2473";"POZN: ";"1486/d/73";"prevod";"originál";"DEF";"pero, tuš";"Slovenská národná galéria, SNG";"kresba, voľná";"nad dolným okrajom vľavo: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1930 - 1939";"20. storočie, 1. polovica, 1930-1939";"5.12.1967";;;;"O 3257";"73. NK";"Bajcurová, Katarína";"preglejka";"výška 29.6 cm; šírka 24.5 cm";"5.12.1967";"Umývanie vlasov";"Umývanie vlasov | Washing Hair  (Preklad názvu)";"SNG";"SVK:SNG.O_3257";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 269.";"7276";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"ženský akt"
"Galanda, Mikuláš";"1917 - 1937";"20. storočie, 1. polovica, 1927 okolo";"21.4.1959";;;;"O 1528";"34. NK";"Bajcurová, Katarína";"lepenka; plátno";"výška 28.0 cm; šírka 25.0 cm";"21.4.1959";"Hlava dievčaťa";"Hlava dievčaťa | Girl's Head (Preklad názvu)";"SNG";"SVK:SNG.O_1528";"POZN: ";"1526";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda";"ženský portrét"
"Galanda, Mikuláš";"1935";"20. storočie, 1. polovica, 1935";"23.10.1991";;;;"O 6641";"201. NK";"Bajcurová, Katarína";"plátno";"výška 36.5 cm; šírka 44.0 cm";"23.10.1991";"Jadran";"Jadran | The Adriatic (Preklad názvu)";"SNG";"SVK:SNG.O_6641";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 271.";"203/91";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";"vľavo dole: G";"krajina | morská krajina"
"Galanda, Mikuláš";"1932";"20. storočie, 1. polovica, 1932";;;;;"O 1931";;"Bajcurová, Katarína";"preglejka";"výška 30.8 cm; šírka 24.9 cm";"20.4.1961";"Matka";"Matka | Mother (Preklad názvu)";"SNG";"SVK:SNG.O_1931";"POZN: ";"2546";"prevod";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: G";"figurálna kompozícia"
"Galanda, Mikuláš";"1925 - 1945";"20. storočie, 1. polovica, 1935 okolo";"10.6.1964";;;;"O 2605";"56. NK";"Bajcurová, Katarína";"plátno; lepenka";"výška 25.0 cm; šírka 30.0 cm";"10.6.1964";"Zátišie s jabĺčkami";"Zátišie s jabĺčkami | Zelené zátišie; Still Life with Apples (Preklad názvu)";"SNG";"SVK:SNG.O_2605";"POZN: ";"4562";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vľavo dole: Galanda";"zátišie"
"Galanda, Mikuláš";"1920 - 1940";"20. storočie, 1. polovica, 1930 okolo";"8.10.1980";;;;"O 5735";"142. NK";"Bajcurová, Katarína";"plátno";"výška 45.0 cm; šírka 29.0 cm";"8.10.1980";"Chudobná rodina";"Chudobná rodina | Poor Family (Preklad názvu)";"SNG";"SVK:SNG.O_5735";"POZN: 

LIT:
Nové Slovensko : (ťažký) zrod moderného životného štýlu 1918 - 1949 = New Slovakia : (difficult) birth of the modern lifestyle 1918 - 1949. Bratislava : SNG, 2011, 261.";"22836";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"figurálna kompozícia"
"Galanda, Mikuláš";"1901 - 1950";"20. storočie, 1. polovica";"14.5.1968";;;;"O 3356";"75. NK";"Bajcurová, Katarína";"preglejka";"výška 24.8 cm; šírka 31.0 cm";"14.5.1968";"Podvečer";"Podvečer | Early Evening (Preklad názvu)";"SNG";"SVK:SNG.O_3356";"POZN: ";"7776";"kúpa";"originál";"DEF";"olej";"Slovenská národná galéria, SNG";"maliarstvo";"vpravo dole: Galanda";"krajina"
